Source_System,Primary_Label,CURIE,Formal_Label,Concept_Type,Hierarchy_Path,Synonyms,Description,Parent_IDs,Concept_ID,URI,Has_Translation,Status,Crosswalks,Extraction_Date,working_category,review_status
Getty Art & Architecture Thesaurus,Discalced Carmelite,AAT:300264419,Discalced Carmelite,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Carmelite > Discalced Carmelite,Discalced Carmelites | Order of the Discalced Carmelites | Reformed Carmelites | ODC | Barefoot Carmelite,Reformed branch of the Carmelite order that became its own order in 1593. Perceived laxity and abuses within the Carmelite order led to the reforms of St. Teresa of Avila and later of St. John of the Cross. The term 'discalced' refers to the practice of the reformers of wearing sandals instead of shoes and stockings. Discalced Carmelites focus on parochial and missionary work.,300264417,300264419,http://vocab.getty.edu/aat/300264419,yes,active,http://vocab.getty.edu/aat/300264419 | http://www.wikidata.org/entity/Q1135659,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Brigittine,AAT:300264370,Brigittine,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Augustinian > Brigittine,Brigittines | Order of the Most Holy Saviour | Bridgettines | OssS (religious order) | Bridgettine Sisters | Order of the Most Holy Savior,"Refers to a religious order following the Rule of St. Augustine that was founded by the medieval mystic St. Bridget of Sweden (died 1373). After the death of her husband, Bridget dedicated her life to prayer and experienced visions, one of which was to found the Order of the Most Holy Savior.  Shortly after Bridget's death, her daughter, St. Catherine of Sweden, became the first abbess of the original monastery in Vadstena, Sweden. Other monasteries followed, each with no more than 60 nuns. Attached to each was a parallel community of monks who shared the same liturgical life under the governing of the abbess. Brigittine contributions to Scandinavian culture include one of the first printing presses, located at Vadstena Abbey. The order, emphasizing humility, simplicity and contemplation, flourished until the Reformation and was banished from Sweden in 1595. After this time there were no more Brigittine monks but four autonomous houses of nuns survived: one in England, another in Bavaria, and two in Holland. Elisabeth Hesselblad founded a new branch of the old order in 1911 and went on to revive the order by founding houses in Sweden, Italy, England, India, Switzerland, and the United States. Although the order has an ancient history, it is modern in its efforts regarding monastic revival and ecumenical concerns.",300255068,300264370,http://vocab.getty.edu/aat/300264370,yes,active,http://vocab.getty.edu/aat/300264370 | http://www.wikidata.org/entity/Q952578,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Christian orders,AAT:300148033,Christian orders,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders,"orders, Christian | Christian order",Christian religious societies or fraternities.,300073711 | 300250831,300148033,http://vocab.getty.edu/aat/300148033,yes,active,,2026-03-12 16:23:00,communities,Human Reviewed
Getty Art & Architecture Thesaurus,religious orders,AAT:300250831,religious orders,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders,"religious order | orders, religious","Groups of religious, generally Christian, Muslim, or Buddhist, who follow a common rule of life, engage in a specific kind of work or schedule of devotions, and submit to the directions of superiors, often though not exclusively living within a cloistered or restricted space such as a convent or monastery.",300250844,300250831,http://vocab.getty.edu/aat/300250831,yes,active,http://vocab.getty.edu/aat/300250831 | http://www.wikidata.org/entity/Q2061186,2026-03-12 16:23:00,communities,Human Reviewed
Getty Art & Architecture Thesaurus,Augustinian,AAT:300255068,Augustinian,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Augustinian,Augustinians | Order of Hermits of St. Augustine | Augustinan Friars | Austin Friars | Order of the Hermit Friars of Saint Augustine | OSA (Christian order) | Order of St Augustine | Augustinian Hermits | O.S.A. (Christian order) | Order of St. Augustine,"Refers to Christian orders or communities of men or women following the Rule of St. Augustine, consisting of instructions for religious life written by the theologian Augustine, bishop of Hippo (354-430). The Rule places an emphasis on union with others in a common love of God. The earliest to follow the Rule were the Canons Regular, Augustinian (or Austin) Canons, approved 1059-63. Specifically, the term often refers to one of the two main Augustinian branches, the mendicant order known as the Augustinian Hermits. The Augustinian Hermits came about in 1256 when disparate orders of Italian hermits were united. The Premonstratensians and the Jeronymites are other notable orders that adopted the Rule. Augustinians have been responsible for many missions, monasteries, schools and well-known hospitals all over the world.",300148033,300255068,http://vocab.getty.edu/aat/300255068,yes,active,http://vocab.getty.edu/aat/300255068 | http://www.wikidata.org/entity/Q214528,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Cluniac,AAT:300148110,Cluniac,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Benedictine > Cluniac,,"A Christian monastic order that resulted from 10th- and 11th-century reforms within the Benedictine order. The order is named after the town of Cluny in Burgundy, site of the celebrated abbey of the same name that was founded in 910 by Duke William the Pious of Aquitaine. The new order returned to strictly observing the rule of St. Benedict during a time of general monastic laxity. The Cluniac reforms were imitated by other monasteries and a succession of abbots gradually built up an impressive network of monasteries throughout western Europe that followed the strict Cluniac customs. The Cluniac order, free of feudal control itself, sought to eliminate feudal warfare; it supported the Truce of God and the Peace of God, which respectively restrict fighting and range of conduct. Cluniacs are also credited with integrating monks and society. The most important Cluniac abbots were St. Odon of Cluny (879-942) and St. Hugh of Cluny (Hugues de Semur; 1049-1109). St. Odo gained for Cluniac houses (called priories) exemption from all but papal authority, a centralization previously unknown in the Benedictine order. Under St. Hugh medieval monasticism reached its apogee and Cluny gained fame as a spiritual center of Western Christianity. While Hugh was abbot almost 2,000 more monasteries were founded in Italy, England, and Spain and in 1055 he founded the first Cluniac convent.",300148044,300148110,http://vocab.getty.edu/aat/300148110,yes,active,,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Capuchin (Christian order),AAT:300264390,Capuchin (Christian order),skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Franciscan > Capuchin (Christian order),Capuchins (Christian order) | Order of Friars Minor of St Francis Capuccinorum | Order of Friars Minor Capuchin | OSFC | OM Cap | O.F.M. Cap.,"Monastic order founded in 1529 by Matteo da Bascio (1495-1552) as a reform movement. It is an autonomous branch of the Franciscans and prescribes a very strict rule emphasizing austerity and poverty. In seeking to return to the greater simplicity of early Franciscans and their literal observance of the rule of St. Francis of Assisi, Matteo wore the pointed cowl or hood (capuce) of St. Francis and he introduced aspects of the solitary life of the hermit. Despite opposition from established groups of Franciscans and near-suppression when their vicar-general became a Protestant in 1542, the zeal and preaching of the Capuchins made them powerful during the Counter-Reformation as they appealed to common and country people. In 1619 they officially became an independent order. Matteo and his followers devoted themselves to caring for victims of the plague from the 16th to the 18th century; they are also noted for their missionary and social work.",300148096,300264390,http://vocab.getty.edu/aat/300264390,yes,active,http://vocab.getty.edu/aat/300264390 | http://www.wikidata.org/entity/Q124862,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Basilian,AAT:300148037,Basilian,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Basilian,Order of Saint Basil | Order of St. Basil,"Refers to several Christian monastic communities of the Byzantine Rite that follow the rule of St. Basil, their spiritual father; there are five major branches of the Order of St. Basil. The Basilian monastic community has been highly influential in the Byzantine community over the centuries, comparable to the Benedictine influence within the Western monastic community. St. Basil, theologian and archbishop of Caesarea in Cappadocia (modern Turkey), created his monastic rule between 358 and 364. St. Basil's simple yet strict rule asks followers to practice community living and advocates ascetic practices as a way to serve God more perfectly. His rule avoids the extreme asceticism of the desert hermits. Implied by St. Basil are vows of chastity and poverty, anticipating the later Western monastic systems, and aid to impoverished people is also called for. Attached to the monasteries should be schools for children in which the students can be tested for a possible religious vocation. St. Basil's rule was revised in the 9th century by St. Theodore of Studios. The Basilian order should not be confused with a Latin-rite congregation of the same name that was founded in France in 1822 but later active mainly in Canada; the members of this congregation devote themselves to educating children.",300148033,300148037,http://vocab.getty.edu/aat/300148037,yes,active,http://vocab.getty.edu/aat/300148037 | http://www.wikidata.org/entity/Q948392,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Benedictine,AAT:300148044,Benedictine,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Benedictine,Order of Saint Benedict | Order of St. Benedict | O.S.B. (Christian order) | OSB (Christian order),"A Christian religious order following the rule of St. Benedict of Nursia (ca. 480-547). St. Benedict's rule is a detailed guide for the government and spiritual and material welfare of a monastery. By the 7th century the rule was also being applied to women and by the early 9th century it had supplanted most other monastic styles in northern and western Europe. Benedictines hold to the well-rounded daily routine of prayer, manual labor, and study prescribed by St. Benedict. Stability, group prayer, and obedience to the abbot are emphasized. The order, which is composed of autonomous monasteries, has a long tradition of scholarship and teaching.",300148033,300148044,http://vocab.getty.edu/aat/300148044,yes,active,http://vocab.getty.edu/aat/300148044 | http://www.wikidata.org/entity/Q131132,2026-03-12 16:23:00,identities,Human Reviewed
Getty Art & Architecture Thesaurus,Camaldolese,AAT:300264396,Camaldolese,skos:Concept,Agents Facet > Organizations (hierarchy name) > organizations (groups) > religious organizations > religious orders > Christian orders > Camaldolese,Camaldolites | Camaldolese Order | Congregation of Camaldoli | Camaldulensians | Congregation of Monk Hermits of Camaldoli | Romualdine,"A Christian monastic order founded by St. Romuald (ca. 920-1027) in about 1012 at Camaldoli near Arezzo in Italy. An independent offshoot of the Benedictines, it was begun as part of the monastic reform movement of the 11th and 12th centuries. The order prescribes a combination of the solitary life of a hermit with an austere version of the common life of a monk. Although a part of the Benedictine confederation, the Camaldolese sees itself as rooted in the Desert Fathers and Mothers, which precede both Benedict and Romuald. Beginners live in the monastery and the more proficient live in the hermitage; together they form one unit. This ideal union was not always followed and independent monasteries and hermitages were founded. In 1935 the two branches were reunited. The Congregation of Monte Corona, a Camaldolese reform group, was founded in 1523 and still exists in small numbers.",300148033,300264396,http://vocab.getty.edu/aat/300264396,yes,active,http://vocab.getty.edu/aat/300264396 | http://www.wikidata.org/entity/Q591832,2026-03-12 16:23:00,identities,Human Reviewed
